"River_Basin_Area","Water_Object","Station_Number"," Station_Location","Opening_Year","Monitoring_Type","Longitude_Original","Latitude_Original","Longitude","Latitude"
"Արարատյան","Vedi","82","6 կմ ք. Արարատից ներքև",1986,"Գործառնական","44° 39' 34.048"" E","39° 51' 24.669"" N",44.659458,39.856852
"Արարատյան","Arpa","83","0.5 կմ ք. Ջերմուկից վերև",1977,"Հղումային","45° 40' 37.671"" E","39° 50' 17.264"" N",45.677131,39.838129
"Արարատյան","Arpa","84","0.5 կմ ք. Վայքից վերև",1993,"Գործառնական","45° 29' 53.898"" E","39° 41' 3.794"" N",45.498305,39.684387
"Արարատյան","Arpa","85","0.5 կմ ք. Վայքից ներքև",1993,"Գործառնական","45° 25' 32.526"" E","39° 42' 28.647"" N",45.425702,39.707957
"Արարատյան","Arpa","86","0.5 կմ ք. Եղեգնաձորից վերև",1974,"Գործառնական","45° 20' 37.800"" E","39° 44' 25.000"" N",45.343833,39.740278
"Արարատյան","Arpa","87","0.5 կմ գյ. Արենիից ներքև",1976,"Գործառնական","45° 9' 18.869"" E","39° 43' 12.668"" N",45.155241,39.720185
"Արարատյան","Yeghegis","88","0.5 կմ գյ. Շատինից ներքև",1977,"Գործառնական","45° 18' 42.291"" E","39° 44' 53.931"" N",45.311748,39.748314
"Հարավային","Meghriget","89","0.5 կմ ք. Մեղրիից վերև",1977,"Հսկողական","46° 13' 27.931"" E","38° 55' 11.754"" N",46.224425,38.919932
"Հարավային","Meghriget","90","Գետաբերան",1977,"Գործառնական","46° 15' 54.611"" E","38° 53' 16.185"" N",46.26517,38.887829
"Հարավային","Voghji","91","1.7 կմ ք. Քաջարանից վերև",1965,"Հղումային","46° 5' 53.534"" E","39° 9' 24.573"" N",46.098204,39.156826
"Հարավային","Voghji","92","1.8 կմ ք. Քաջարանից ներքև",1965,"Գործառնական","46° 11' 30.689"" E","39° 9' 0.934"" N",46.191858,39.150259
"Հարավային","Voghji","93","0.8 կմ ք. Կապանից վերև",1965,"Գործառնական","46° 20' 54.309"" E","39° 13' 23.837"" N",46.348419,39.223288
"Հարավային","Voghji","94","0.5 կմ Կապանի օդանավակայանից  ներքև",1965,"Գործառնական","46° 27' 49.670"" E","39° 12' 2.138"" N",46.463797,39.200594
"Հարավային","Geghi","97","0.5 կմ գյ. Աջաբաջից վերև",1993,"Հղումային","46° 4' 22.450"" E","39° 15' 17.135"" N",46.072903,39.25476
"Հարավային","Geghi","98","Գետաբերան",1977,"Գործառնական","46° 15' 32.943"" E","39° 11' 59.967"" N",46.259151,39.199991
"Հարավային","Vorotan","99","0.5 կմ գյ. Գորայքից վերև",1989,"Հղումային","45° 46' 35.600"" E","39° 41' 4.200"" N",45.776556,39.6845
"Հարավային","Vorotan","100","3 կմ ք. Սիսիանից վերև",1982,"Հսկողական","46° 0' 43.044"" E","39° 32' 12.384"" N",46.011957,39.536773
"Հարավային","Vorotan","101","6 կմ ք. Սիսիանից ներքև",1982,"Գործառնական","46° 2' 45.399"" E","39° 30' 45.689"" N",46.045944,39.512691
"Հարավային","Vorotan","102","0.5 կմ գյ. Տաթև ՀԷԿ-ից ներքև",1982,"Գործառնական","46° 22' 24.200"" E","39° 25' 36.600"" N",46.373389,39.426833
"Հարավային","Sisian","103","0.5 կմ գյ. Արևիսից վերև",1980,"Հղումային","45° 54' 1.586"" E","39° 24' 6.699"" N",45.900441,39.401861
"Հարավային","Sisian","104","Գետաբերան",1993,"Գործառնական","46° 2' 56.338"" E","39° 30' 36.199"" N",46.048983,39.510055
"Հարավային","Vararak","106","5 կմ ք. Գորիսից վերև",1977,"Հղումային","46° 17' 39.343"" E","39° 32' 10.338"" N",46.294262,39.536205
"Հարավային","Vararak","107","1.5 կմ ք. Գորիսից ներքև",1977,"Գործառնական","46° 21' 32.962"" E","39° 29' 7.858"" N",46.359156,39.485516
"Ախուրյան","Arpi Lake Reservoir","109","Ամբարտակի մոտ",1986,"Հսկողական","43° 39' 13.090"" E","41° 4' 3.230"" N",43.653636,41.067564
"Ախուրյան","Akhuryan Reservoir","110","Ամբարտակի մոտ",1977,"Հսկողական","43° 39' 16.160"" E","40° 33' 36.030"" N",43.654489,40.560008
"Հրազդան","Aparan Reservoir","111","Ամբարտակի մոտ",1986,"Հսկողական","44° 26' 9.100"" E","40° 29' 6.300"" N",44.435861,40.485083
"Հրազդան","Yerevan Lake","112","Ամբարտակի մոտ",1993,"Գործառնական","44° 28' 25.641"" E","40° 9' 18.993"" N",44.473789,40.155276
"Արարատյան","Azat Reservoir","113","Ամբարտակի մոտ",1993,"Հսկողական","44° 35' 41.100"" E","40° 4' 13.100"" N",44.59475,40.070306
"Արարատյան","Kechut Reservoir","114","Ամբարտակի մոտ",1977,"Հսկողական","45° 38' 57.066"" E","39° 47' 29.899"" N",45.649185,39.791639
"Հյուսիսային","Gargar","210","Ակունք",2010,"Հղումային","44° 24' 31.200"" E","40° 58' 15.800"" N",44.408667,40.971056
"Հրազդան","Hrazdan","225","գյ. Գեղանիստի մոտ",2006,"Գործառնական","44° 25' 58.604"" E","40° 8' 36.609"" N",44.432946,40.143502
"Հրազդան","Tsaghkadzor","311","Ծաղկաձոր քաղաքից վերև",2006,"Հղումային","44° 41' 58.788"" E","40° 32' 3.357"" N",44.699663,40.534266
"Հրազդան","Tsaghkadzor","312","Ծաղկաձոր քաղաքից ներքև",2006,"Գործառնական","44° 44' 38.507"" E","40° 32' 7.266"" N",44.74403,40.535352
"Հյուսիսային","Gargar","342","Գետաբերան",1977,"Հսկողական","44° 34' 48.429"" E","40° 57' 13.382"" N",44.580119,40.953717
"Հյուսիսային","Shnogh","343","Գետաբերան",2009,"Գործառնական","44° 49' 58.847"" E","41° 8' 43.695"" N",44.833013,41.145471
"Հարավային","Karchevan","344","Գետաբերան",2007,"Գործառնական","46° 12' 45.820"" E","38° 51' 31.125"" N",46.212728,38.858646
"Հարավային","Achanan (Norashenik)","346","3 կմ գյ. Աճանանից վերև",2018,"Հղումային","46° 24' 9.334"" E","39° 15' 16.200"" N",46.402593,39.2545
"Հարավային","Achanan (Norashenik)","347","գետաբերան",2005,"Գործառնական","46° 27' 43.744"" E","39° 12' 14.707"" N",46.462151,39.204085
"Արարատյան","Darb","348","Ակունք",2020,"Հղումային","45° 41' 0.512"" E","39° 41' 8.793"" N",45.683475,39.685776
"Արարատյան","Darb","349","Գետաբերան",2020,"Գործառնական","45° 34' 3.642"" E","39° 41' 37.017"" N",45.567678,39.693616
"Արարատյան","Herher","350","Ակունք",2020,"Հղումային","45° 32' 33.258"" E","39° 49' 26.531"" N",45.542572,39.824037
"Արարատյան","Herher","351","Գետաբերան",2020,"Գործառնական","45° 31' 24.539"" E","39° 41' 32.340"" N",45.523483,39.692317
